apple 蘋果
banana 香蕉
cat 貓/貓咪
dog 狗/狗狗
elephant 大象
flower 花/花朵
guitar 吉他
house 房子/房屋
internet 網際網路/網路
jacket 外套/夾克
kangaroo 袋鼠
lemon 檸檬
money 錢/金錢
notebook 筆記本/筆電
orange 橘子/柳橙
pencil 鉛筆
queen 女王/王后
rabbit 兔子
sun 太陽
tiger 老虎
umbrella 雨傘
violin 小提琴
water 水
xylophone 木琴
yacht 遊艇
zebra 斑馬
algorithm 演算法
variable 變數/可變/易變的/變量
function 函式/功能
compile 編譯
debug 除錯
memory 記憶體/回憶
loop 迴圈
pointer 指標
array 陣列
string 字串
integer 整數
boolean 布林值/布林代數
char 字元
class 類別/班級
object 物件/物體
library 函式庫/圖書館
bug 錯誤/蟲子/漏洞
keyboard 鍵盤
screen 螢幕
network 網路/互聯網絡
database 資料庫/數據庫
software 軟體
hardware 硬體
operating-system 作業系統/作業系統
visual-studio 開發環境
source-code 原始碼/初始碼
execute 執行
happy 快樂/開心
sad 難過/悲傷
angry 生氣/憤怒
tired 累/疲倦/疲乏
excited 興奮/期待的
beautiful 美麗/漂亮/漂亮的
expensive 昂貴/貴/貴的
delicious 好吃/美味/美味的
difficult 困難/困難的
easy 簡單/容易/簡單的/容易的
important 重要/重要的
smart 聰明
friend 朋友
family 家人/家庭
teacher 老師
student 學生
doctor 醫生
engineer 工程師
police 警察
run 跑/跑步/執行
eat 吃
sleep 睡/睡覺
study 讀書/學習/研究
listen 聽/聆聽
speak 說/講話
write 寫/寫作
read 讀/閱讀
play 玩/播放
watch 看/觀看/手錶
